home_team_name,away_team_name,referee,home_team_corner_count,away_team_corner_count,total_corners,stadium_name
West Ham United,Everton,Paul Tierney,4,9,13,London Stadium (London)
Cardiff City,Chelsea,Craig Pawson,2,7,9,Cardiff City Stadium (Cardiff (Caerdydd))
Liverpool,Tottenham Hotspur,Martin Atkinson,10,3,13,Anfield (Liverpool)
Arsenal,Newcastle United,Anthony Taylor,6,2,8,Emirates Stadium (London)
Watford,Fulham,Roger East,6,4,10,Vicarage Road (Watford)
Wolverhampton Wanderers,Manchester United,Mike Dean,3,5,8,Molineux Stadium (Wolverhampton- West Midlands)
Chelsea,Brighton & Hove Albion,Graham Scott,7,1,8,Stamford Bridge (London)
Tottenham Hotspur,Crystal Palace,Andre Marriner,8,2,10,Tottenham Hotspur Stadium (London)
Manchester City,Cardiff City,Jonathan Moss,17,4,21,Etihad Stadium (Manchester)
Southampton,Liverpool,Paul Tierney,7,5,12,St. Mary's Stadium (Southampton- Hampshire)
AFC Bournemouth,Burnley,Martin Atkinson,3,6,9,Vitality Stadium (Bournemouth- Dorset)
Huddersfield Town,Leicester City,David Coote,8,5,13,John Smith's Stadium (Huddersfield- West Yorkshire)
Newcastle United,Crystal Palace,Stuart Attwell,9,4,13,St. James' Park (Newcastle upon Tyne)
Everton,Arsenal,Kevin Friend,9,6,15,Goodison Park (Liverpool)
Chelsea,West Ham United,Chris Kavanagh,7,4,11,Stamford Bridge (London)
Leicester City,Newcastle United,Chris Kavanagh,2,3,5,King Power Stadium (Leicester- Leicestershire)
Tottenham Hotspur,Huddersfield Town,Lee Mason,4,2,6,Tottenham Hotspur Stadium (London)
Brighton & Hove Albion,AFC Bournemouth,Kevin Friend,4,1,5,The American Express Community Stadium (Falmer- East Sussex)
Burnley,Cardiff City,Mike Dean,8,4,12,Turf Moor (Burnley)
Fulham,Everton,Lee Probert,7,3,10,Craven Cottage (London)
Southampton,Wolverhampton Wanderers,Jonathan Moss,4,9,13,St. Mary's Stadium (Southampton- Hampshire)
Manchester United,West Ham United,Graham Scott,3,11,14,Old Trafford (Manchester)
Crystal Palace,Manchester City,Martin Atkinson,2,9,11,Selhurst Park (London)
Liverpool,Chelsea,Michael Oliver,9,2,11,Anfield (Liverpool)
Watford,Arsenal,Craig Pawson,6,4,10,Vicarage Road (Watford)
Brighton & Hove Albion,Cardiff City,Andre Marriner,5,4,9,The American Express Community Stadium (Falmer- East Sussex)
Manchester City,Tottenham Hotspur,Michael Oliver,4,4,8,Etihad Stadium (Manchester)
AFC Bournemouth,Fulham,David Coote,3,7,10,Vitality Stadium (Bournemouth- Dorset)
Huddersfield Town,Watford,Roger East,2,2,4,John Smith's Stadium (Huddersfield- West Yorkshire)
West Ham United,Leicester City,Lee Probert,6,8,14,London Stadium (London)
Wolverhampton Wanderers,Brighton & Hove Albion,Craig Pawson,14,1,15,Molineux Stadium (Wolverhampton- West Midlands)
Newcastle United,Southampton,Anthony Taylor,4,11,15,St. James' Park (Newcastle upon Tyne)
Everton,Manchester United,Paul Tierney,10,2,12,Goodison Park (Liverpool)
Arsenal,Crystal Palace,Jonathan Moss,8,3,11,Emirates Stadium (London)
Cardiff City,Liverpool,Martin Atkinson,5,10,15,Cardiff City Stadium (Cardiff (Caerdydd))
Chelsea,Burnley,Kevin Friend,10,1,11,Stamford Bridge (London)
Watford,Southampton,Mike Dean,3,4,7,Vicarage Road (Watford)
Tottenham Hotspur,Brighton & Hove Albion,Chris Kavanagh,6,3,9,Tottenham Hotspur Stadium (London)
Wolverhampton Wanderers,Arsenal,Stuart Attwell,5,5,10,Molineux Stadium (Wolverhampton- West Midlands)
Manchester United,Manchester City,Andre Marriner,1,1,2,Old Trafford (Manchester)
Liverpool,Huddersfield Town,Kevin Friend,4,4,8,Anfield (Liverpool)
Tottenham Hotspur,West Ham United,Anthony Taylor,2,7,9,Tottenham Hotspur Stadium (London)
Crystal Palace,Everton,Lee Mason,5,10,15,Selhurst Park (London)
Fulham,Cardiff City,Chris Kavanagh,10,3,13,Craven Cottage (London)
Southampton,AFC Bournemouth,Graham Scott,9,3,12,St. Mary's Stadium (Southampton- Hampshire)
Watford,Wolverhampton Wanderers,Simon Hooper,4,5,9,Vicarage Road (Watford)
Brighton & Hove Albion,Newcastle United,Mike Dean,7,4,11,The American Express Community Stadium (Falmer- East Sussex)
Leicester City,Arsenal,Michael Oliver,8,6,14,King Power Stadium (Leicester- Leicestershire)
Burnley,Manchester City,Paul Tierney,0,6,6,Turf Moor (Burnley)
Manchester United,Chelsea,Martin Atkinson,6,6,12,Old Trafford (Manchester)
Everton,Burnley,Chris Kavanagh,8,1,9,Goodison Park (Liverpool)
AFC Bournemouth,Tottenham Hotspur,Craig Pawson,10,6,16,Vitality Stadium (Bournemouth- Dorset)
West Ham United,Southampton,Stuart Attwell,2,7,9,London Stadium (London)
Wolverhampton Wanderers,Fulham,Jonathan Moss,7,1,8,Molineux Stadium (Wolverhampton- West Midlands)
Cardiff City,Crystal Palace,Michael Oliver,10,5,15,Cardiff City Stadium (Cardiff (Caerdydd))
Newcastle United,Liverpool,Andre Marriner,2,3,5,St. James' Park (Newcastle upon Tyne)
Chelsea,Watford,Paul Tierney,6,6,12,Stamford Bridge (London)
Huddersfield Town,Manchester United,Lee Mason,3,7,10,John Smith's Stadium (Huddersfield- West Yorkshire)
Arsenal,Brighton & Hove Albion,Anthony Taylor,16,3,19,Emirates Stadium (London)
Manchester City,Leicester City,Mike Dean,11,0,11,Etihad Stadium (Manchester)
Brighton & Hove Albion,Manchester City,Michael Oliver,2,6,8,The American Express Community Stadium (Falmer- East Sussex)
Burnley,Arsenal,Mike Dean,4,5,9,Turf Moor (Burnley)
Crystal Palace,AFC Bournemouth,Roger East,4,4,8,Selhurst Park (London)
Fulham,Newcastle United,Kevin Friend,5,5,10,Craven Cottage (London)
Leicester City,Chelsea,Anthony Taylor,4,5,9,King Power Stadium (Leicester- Leicestershire)
Liverpool,Wolverhampton Wanderers,Martin Atkinson,4,1,5,Anfield (Liverpool)
Manchester United,Cardiff City,Jonathan Moss,11,2,13,Old Trafford (Manchester)
Southampton,Huddersfield Town,Lee Probert,4,3,7,St. Mary's Stadium (Southampton- Hampshire)
Tottenham Hotspur,Everton,Andre Marriner,7,4,11,Tottenham Hotspur Stadium (London)
Watford,West Ham United,Chris Kavanagh,7,2,9,Vicarage Road (Watford)
